userid,content_id,views,likes,shares,comments,watch_time,engagement_score
user_37,content_2692,2,0,1,1,223,0.12554616684485054
user_661,content_2603,4,0,1,2,221,0.41151282264230993
user_525,content_587,6,1,1,2,107,0.6373426789426685
user_981,content_4759,1,3,1,1,42,0.2298341060953203
user_388,content_768,9,3,1,2,209,0.3791304704876428
user_935,content_2848,8,1,0,0,243,0.3841296641693078
user_272,content_4334,2,4,2,0,82,0.3917506325113461
user_782,content_468,4,0,2,0,222,0.12547948487805138
user_629,content_1603,3,4,1,2,152,0.9175448109032304
user_453,content_3448,6,2,2,2,121,0.16226361898341024
user_16,content_1048,6,1,1,1,226,0.40973069276063045
user_40,content_578,6,0,0,2,282,0.5211991338123335
user_650,content_2277,5,1,1,2,105,0.027171613176047993
user_903,content_1294,4,0,0,2,81,0.0586922914540462
user_814,content_1144,3,0,0,1,160,0.2339846102916825
user_731,content_779,1,3,1,1,258,0.25759793571993317
user_59,content_2016,7,0,2,1,132,0.5895951154587978
user_627,content_4740,6,3,0,1,43,0.171998445574982
user_777,content_4075,6,2,2,0,178,0.8904987346960925
user_361,content_899,5,3,0,1,167,0.5950294724891821
user_587,content_2563,3,4,1,1,12,0.3226776796570133
user_355,content_3923,4,2,2,2,11,0.4183691074370435
user_929,content_4155,9,4,1,1,121,0.9290971983734816
user_146,content_3706,8,1,2,2,8,0.31070010027615147
user_304,content_1165,4,0,2,2,70,0.30626828853320665
user_72,content_1318,2,4,2,0,115,0.21833285038283867
user_137,content_3232,9,0,1,1,193,0.03770429476186343
user_906,content_1611,3,1,2,0,200,0.4265593198464841
user_492,content_4522,9,3,1,1,239,0.04939128575402418
user_672,content_2842,8,1,1,2,96,0.9379328651558089
user_63,content_3789,9,4,0,1,69,0.6254007448708789
user_253,content_4064,5,2,2,1,183,0.37341649989175074
user_3,content_3054,3,0,1,1,148,0.0883288616029323
user_9,content_4586,9,4,1,1,112,0.9237981558409316
user_897,content_349,9,0,1,1,116,0.25923496639967203
user_457,content_4890,5,0,2,2,102,0.7421949270779183
user_247,content_3401,8,0,2,2,287,0.8364060167473071
user_336,content_2962,9,0,0,0,238,0.4332288275436069
user_795,content_1273,2,4,1,1,70,0.2737488063372999
user_670,content_1046,8,2,0,0,106,0.5167795651599746
user_252,content_3325,1,0,1,0,198,0.0021897122886234133
user_899,content_1317,9,1,1,2,178,0.014063731338200491
user_685,content_1020,2,4,1,1,260,0.5522425088118387
user_523,content_2934,1,1,2,0,59,0.29778176779453935
user_996,content_2644,7,4,2,1,209,0.18726550976833578
user_231,content_4983,6,3,1,2,61,0.8835775222367348
user_914,content_1831,4,2,2,0,243,0.4426067938817688
user_383,content_314,8,4,0,2,164,0.9683719890349843
user_54,content_4429,8,4,0,0,291,0.5664669359291369
user_840,content_23,6,1,1,2,211,0.20282778655247458
user_68,content_2231,6,3,1,1,224,0.22482116641646266
user_730,content_4006,6,4,0,1,189,0.776794351374851
user_340,content_3976,2,3,2,1,291,0.1086640833571838
user_362,content_4891,5,2,0,0,120,0.8848162213888175
user_574,content_1285,1,2,2,2,108,0.5366629589658501
user_90,content_1117,9,0,2,1,46,0.8719923676581826
user_860,content_1849,5,1,1,2,38,0.03862399648623305
user_503,content_2912,8,0,0,2,80,0.9245074291600043
user_592,content_3556,9,3,1,0,158,0.7765807115581773
user_949,content_2290,8,2,0,2,68,0.071762278440896
user_732,content_1633,6,3,1,0,258,0.2618095282081331
user_336,content_307,2,4,1,0,292,0.9338491423829183
user_734,content_4832,6,3,1,0,203,0.8888017020955757
user_213,content_4298,4,2,2,1,252,0.25489055293970886
user_365,content_2683,9,3,0,2,50,0.8297116682109806
user_337,content_716,4,4,1,2,88,0.7592236131264168
user_378,content_1561,8,3,2,1,264,0.7493335523867075
user_520,content_2237,8,4,2,1,27,0.4968053701314936
user_998,content_514,6,1,0,1,261,0.3680829730883549
user_853,content_3386,9,3,0,2,179,0.5834523523632498
user_194,content_1717,6,1,2,1,222,0.020893800230533333
user_556,content_4622,5,0,1,2,216,0.8341553980087665
user_359,content_1824,6,3,0,1,27,0.874208308005292
user_629,content_522,5,0,1,0,289,0.7889303349017593
user_886,content_3171,9,4,1,0,165,0.14019425430631138
user_626,content_2489,6,0,2,2,169,0.44338117242369546
user_15,content_3590,8,1,0,1,216,0.1654060401405627
user_896,content_6,1,3,0,2,140,0.10116551137657936
user_395,content_1711,5,0,1,0,268,0.9586242102929786
user_866,content_2208,9,3,0,1,159,0.2754625045763469
user_123,content_3168,7,1,2,2,166,0.7294001898229506
user_425,content_2007,3,4,0,1,117,0.1172245734765156
user_723,content_1259,6,1,1,2,213,0.3484054723350527
user_596,content_1436,2,3,2,0,170,0.05127564289294517
user_664,content_597,4,3,0,1,18,0.5466746521817799
user_262,content_3405,4,0,0,1,270,0.6188406469476136
user_254,content_2898,8,3,2,1,189,0.305609407768085
user_801,content_2482,1,4,0,1,106,0.6957880950169556
user_467,content_1628,1,0,1,2,214,0.7379938288339453
user_705,content_4242,8,2,2,2,39,0.5038507950603264
user_800,content_1334,7,2,1,2,210,0.9169956928855042
user_39,content_288,4,0,0,1,8,0.11976835507559092
user_600,content_820,3,2,1,0,15,0.4612492805967382
user_923,content_2907,9,1,2,1,238,0.6593541179170838
user_940,content_4392,1,3,0,1,229,0.7781875348350756
user_573,content_1973,5,3,0,0,213,0.9464015824554326
user_682,content_655,5,1,2,2,226,0.8179238187607741
user_609,content_4696,4,2,0,1,254,0.7790121441057475
user_694,content_1751,8,3,2,1,203,0.6231830162858535
user_627,content_4655,7,2,1,0,175,0.9829304997471595
user_127,content_1825,9,3,1,2,200,0.7664030006240758
user_367,content_4188,3,1,0,1,167,0.7745607248397169
user_270,content_4107,1,2,0,0,126,0.8419003820704826
user_447,content_4821,6,3,0,1,209,0.1491124388317996
user_767,content_2017,9,3,2,1,233,0.07431418151624958
user_139,content_4654,8,2,2,2,136,0.49473189489944813
user_202,content_1519,2,2,2,0,162,0.7561493296179702
user_535,content_855,7,4,0,2,219,0.3741133151069381
user_256,content_3093,4,1,1,0,5,0.23791876475765217
user_173,content_417,9,3,0,0,33,0.6582835272671398
user_124,content_3851,3,1,2,2,55,0.9597084987385267
user_72,content_1003,2,1,0,2,173,0.6467510090340469
user_785,content_4598,3,0,2,2,246,0.03966670703349362
user_953,content_2817,6,4,0,2,276,0.6026243499123457
user_321,content_4802,7,2,2,0,239,0.8784813845535019
user_151,content_4197,4,2,2,2,25,0.7014494064331701
user_459,content_1859,7,3,2,2,198,0.5272219948015403
user_669,content_325,1,1,2,0,282,0.894746499341002
user_66,content_3712,6,4,0,1,218,0.5523661667295166
user_169,content_1400,1,3,1,2,281,0.266180716412575
user_424,content_652,8,4,0,0,191,0.7969425397854121
user_131,content_1626,8,2,2,2,169,0.7006026193698505
user_38,content_302,3,3,1,2,237,0.08324378124981002
user_544,content_3238,2,2,0,1,102,0.9837863877046016
user_259,content_544,5,2,2,2,157,0.32501144028884543
user_859,content_4788,4,0,1,0,227,0.28359001039331055
user_431,content_69,7,2,1,1,53,0.38337533932470447
user_851,content_3541,1,2,1,2,103,0.8121983665433422
user_231,content_431,4,2,0,2,260,0.44830347866029463
user_71,content_4292,3,1,0,0,104,0.5613015014736243
user_922,content_3084,2,3,0,0,224,0.6321283277606283
user_665,content_1960,8,2,2,2,65,0.010382125434853617
user_61,content_2261,2,0,0,2,145,0.704328993464411
user_654,content_4061,7,0,2,0,76,0.5931270081403608
user_396,content_2774,3,1,1,1,117,0.2017867628913368
user_816,content_4977,1,4,2,1,105,0.9013999271945017
user_773,content_2375,5,2,0,1,106,0.7993478365010108
user_84,content_3076,1,3,0,0,193,0.07949840201646796
user_361,content_3847,8,0,1,2,284,0.6359836257579609
user_102,content_4640,2,1,1,0,231,0.10235906731525657
user_666,content_4611,6,3,1,1,16,0.20716780385927236
user_288,content_4432,7,1,2,0,84,0.5291578019563088
user_686,content_1227,4,3,1,1,166,0.8095851574831777
user_520,content_1571,8,2,1,0,220,0.8024940793670684
user_434,content_1964,8,4,0,0,225,0.5402238724967338
user_762,content_1272,6,2,2,1,106,0.7570811276087926
user_477,content_2931,9,4,0,1,58,0.9098000122566341
user_158,content_4309,5,0,1,1,145,0.6933882610325734
user_708,content_1376,1,4,0,2,265,0.3304337603560432
user_24,content_3227,3,2,0,1,270,0.4093840876576321
user_537,content_2346,3,2,1,0,33,0.8577370820761869
user_871,content_470,9,2,1,0,12,0.39127411956610114
user_374,content_4444,3,4,2,1,226,0.7692524887243396
user_709,content_3701,7,0,0,1,267,0.6747026899872568
user_453,content_1626,7,2,1,2,166,0.5508830153893453
user_305,content_1609,9,2,2,1,214,0.4072343387253493
user_695,content_1548,1,2,1,1,224,0.20290259776986586
user_534,content_2878,8,2,2,0,295,0.8813656883907153
user_60,content_3320,3,2,2,1,174,0.7009468535714851
user_849,content_2949,5,0,1,2,141,0.4346459073981348
user_492,content_304,5,4,1,0,294,0.3872315394946829
user_508,content_1029,7,0,0,2,161,0.5921251758364424
user_731,content_1442,8,4,0,1,215,0.12987434068402448
user_955,content_2097,9,2,1,2,142,0.4408225804748013
user_240,content_4921,1,2,0,2,56,0.8251836741252886
user_230,content_4193,2,2,0,2,34,0.677293097551691
user_137,content_1450,5,0,0,1,193,0.25522434777242087
user_609,content_477,3,1,0,0,20,0.07042731594330387
user_935,content_1118,5,0,1,0,289,0.06995812567152815
user_344,content_2409,7,0,2,1,185,0.3129037749904141
user_283,content_464,7,2,0,0,7,0.8679751289515465
user_159,content_3092,2,3,2,2,295,0.0027227270483463073
user_670,content_2257,2,3,1,2,189,0.832948245059352
user_318,content_3939,6,4,0,1,165,0.495156671505386
user_847,content_315,1,3,1,0,34,0.4122838888803184
user_524,content_4172,3,1,0,0,212,0.49679343760656247
user_81,content_374,2,3,1,2,127,0.4685787208544909
user_769,content_4044,6,3,2,1,16,0.6871197028350027
user_267,content_1987,9,4,0,1,13,0.4858059500700943
user_800,content_2039,2,2,2,2,231,0.6638499531619382
user_353,content_4672,3,2,1,2,115,0.06577662677450224
user_526,content_2926,3,3,2,0,62,0.5650406352527365
user_152,content_3247,1,3,0,1,249,0.33844615355605256
user_66,content_1145,7,1,2,0,283,0.8505030057356252
user_978,content_4017,7,2,0,2,191,0.944738470104134
user_638,content_397,9,0,2,2,212,0.01707499904865395
user_421,content_2987,3,4,1,0,54,0.5986750622682188
user_978,content_3293,8,1,2,2,6,0.25177465701428337
user_429,content_1618,6,1,0,0,97,0.5009816560307319
user_372,content_2081,2,2,2,1,87,0.5754700471503886
user_300,content_1471,1,4,2,0,34,0.6063696158835842
user_140,content_3413,1,2,1,2,134,0.259403324480604
user_505,content_1431,8,0,2,1,55,0.782515052977712
user_252,content_66,5,4,0,0,218,0.4175790729379887
user_624,content_329,9,3,1,0,187,0.5015524935055524
user_392,content_777,5,0,2,1,177,0.9379960613871332
user_387,content_4328,5,2,2,1,33,0.3186037620490896
user_402,content_4164,3,1,1,1,173,0.10173337106636304
user_517,content_2183,1,0,1,0,108,0.3936501944107289
user_197,content_3700,1,0,0,1,217,0.027117725066032716
user_636,content_3880,5,1,1,0,128,0.939233236993478
user_565,content_1733,8,1,2,2,6,0.18076622279448695
user_626,content_2105,9,1,1,0,200,0.1253639512500072
user_965,content_2109,9,3,0,0,108,0.24676205801987205
user_90,content_3168,3,0,2,2,76,0.8259491269383639
user_222,content_808,5,0,0,1,237,0.8693693868610234
user_114,content_504,4,1,1,0,41,0.39511249371072643
user_986,content_2846,3,3,2,2,125,0.9732705115130531
user_426,content_2409,6,3,0,0,38,0.554103750055533
user_728,content_2385,3,2,1,1,296,0.3276288913356534
user_561,content_3475,8,3,1,2,242,0.20580864718629988
user_689,content_924,6,4,1,2,19,0.13011858868397286
user_495,content_3250,9,2,1,1,39,0.9425489567406918
user_270,content_2848,1,4,2,1,124,0.7298938243501523
user_574,content_2398,4,1,1,1,143,0.38573483020603383
user_390,content_508,6,3,2,1,174,0.9704397274269452
user_264,content_3972,2,1,1,0,171,0.18207386170272843
user_871,content_4515,1,3,2,1,252,0.6970948282219945
user_121,content_4848,6,1,2,1,32,0.40705847340466594
user_296,content_4555,2,0,2,0,261,0.14201523983009057
user_380,content_2668,7,0,1,0,68,0.9372439507868832
user_785,content_112,3,1,1,1,60,0.018114926933194386
user_689,content_2851,1,2,2,2,192,0.15741702491807397
user_495,content_2294,8,4,0,0,109,0.00048822716032836944
user_93,content_3521,3,4,0,1,183,0.583461237413926
user_410,content_2895,6,2,1,0,82,0.5916944215857125
user_255,content_246,4,2,0,2,28,0.7569035864453484
user_762,content_2760,7,4,0,2,20,0.6594591671340898
user_183,content_2905,2,3,2,1,288,0.18587814662551516
user_838,content_1993,4,1,0,2,200,0.9204638663042085
user_854,content_3514,6,2,2,0,182,0.6318925107131083
user_236,content_3523,7,1,1,2,215,0.9665606911469378
user_386,content_516,8,3,2,1,67,0.9081151232357761
user_334,content_1230,5,0,1,0,294,0.061956024370462326
user_120,content_3030,8,0,1,0,142,0.9893592846346869
user_574,content_2494,2,2,1,0,160,0.42030423163237585
user_463,content_2850,4,2,0,2,268,0.13759671416008767
user_905,content_3475,7,2,0,1,65,0.9378396701724411
user_110,content_541,5,3,2,1,7,0.3066188316424008
user_622,content_4655,5,2,1,2,21,0.7786874655826442
user_605,content_110,8,3,2,0,56,0.7060355055024586
user_644,content_2400,7,4,0,0,9,0.3962428131724208
user_838,content_1692,3,2,1,2,51,0.21382099467629634
user_816,content_3338,4,4,2,2,35,0.6652644143440316
user_106,content_49,3,4,1,0,232,0.3659634832446972
user_652,content_1235,6,2,1,1,190,0.8955275367955888
user_167,content_1027,6,3,2,1,102,0.8603477912268062
user_123,content_1427,1,1,0,2,68,0.6681794612390878
user_645,content_1555,5,2,2,1,32,0.3753374791533777
user_514,content_1666,4,3,0,1,51,0.9091246738008355
user_826,content_1066,9,3,0,2,195,0.9226060150314651
user_291,content_965,2,1,1,1,262,0.3564910002526005
user_361,content_3528,9,3,0,1,21,0.11570895942565707
user_261,content_3076,3,4,2,1,29,0.1421919624743092
user_669,content_2156,8,4,1,2,247,0.10227594283598584
user_310,content_1689,8,3,1,1,55,0.4207757385691423
user_41,content_3260,5,3,1,0,99,0.6969489514363291
user_526,content_1394,9,1,0,2,264,0.25156805094065016
user_483,content_1089,6,0,2,1,89,0.4079089720596947
user_681,content_4329,9,0,1,2,280,0.45937413738076527
user_820,content_2330,5,3,0,2,212,0.7608420974636529
user_265,content_4740,8,2,1,1,264,0.43799809523887157
user_530,content_1579,4,0,2,0,141,0.5753965026923589
user_99,content_1958,1,0,1,2,107,0.3324687613053282
user_180,content_3021,2,3,1,0,66,0.9958774212968642
user_951,content_4853,6,4,1,0,241,0.11615963348236857
user_559,content_2896,1,0,2,2,52,0.7899812521356158
user_701,content_4151,2,1,1,1,94,0.626332063542447
user_391,content_505,5,1,0,1,242,0.46114738996755955
user_352,content_4722,3,4,2,0,16,0.6342825810572321
user_133,content_272,4,2,1,0,157,0.9771695185952871
user_496,content_4249,3,3,0,2,71,0.2645766675689917
user_400,content_2123,1,0,2,2,164,0.8229216116075939
user_405,content_2439,2,4,1,2,75,0.06677433867374882
user_386,content_1003,3,1,0,2,245,0.3780122171475312
user_622,content_1755,3,0,0,1,184,0.21033332192709153
user_446,content_4009,2,4,0,1,136,0.056698402688525884
user_944,content_1430,6,1,2,2,68,0.030894567222954028
user_757,content_1476,8,3,0,1,204,0.3410941813999392
user_490,content_3896,2,1,1,0,225,0.7097561488019474
user_560,content_4836,6,2,1,0,81,0.5332636961701624
user_741,content_646,4,0,1,1,179,0.4439796910959818
user_806,content_1077,7,2,1,1,120,0.9151556566949426
user_138,content_2805,9,0,1,0,118,0.5242684435247245
user_696,content_1924,9,4,2,0,18,0.397527099962131
user_242,content_2843,1,2,1,2,243,0.22457480705274002
user_248,content_4039,4,3,1,2,40,0.8640228142589503
user_485,content_4938,5,0,1,1,39,0.847434448956259
user_992,content_3535,8,1,1,0,217,0.486249207929234
user_222,content_3480,8,4,2,2,23,0.5619076503708619
user_542,content_3201,1,1,2,0,199,0.8837384564418788
user_337,content_4220,5,3,0,0,256,0.1782835344017003
user_989,content_486,4,4,1,0,276,0.05078674237154557
user_238,content_3283,1,0,2,0,225,0.9939393649280933
user_714,content_3900,3,4,2,0,161,0.40653909294042
user_263,content_113,8,3,1,2,170,0.4898343413941476
user_81,content_3655,4,3,0,2,22,0.7400185385872281
user_285,content_3532,9,3,2,0,262,0.5500040078931184
user_455,content_4387,9,3,0,0,265,0.3437640712882243
user_29,content_3776,5,2,1,2,13,0.34150910384625544
user_346,content_4639,4,1,0,2,226,0.8418588420450183
user_596,content_1222,2,3,2,2,138,0.05074119265692334
user_362,content_2334,5,3,1,1,282,0.9441436053751844
user_166,content_878,7,1,0,0,87,0.9557785408766827
user_194,content_601,5,1,2,1,111,0.23344570835468736
user_174,content_175,7,4,0,1,281,0.5375700173931763
user_486,content_1281,4,0,0,1,67,0.37735489829366886
user_951,content_108,3,3,2,1,130,0.1422464699640218
user_102,content_1621,7,3,2,0,166,0.0654378230623952
user_836,content_430,9,2,0,2,232,0.7316540288596577
user_864,content_4994,3,3,0,2,286,0.4133611336517077
user_813,content_2457,6,1,0,2,59,0.07974709213656772
user_501,content_3192,4,3,0,2,221,0.6916457468625881
user_494,content_1857,1,4,0,2,182,0.7623317570629833
user_988,content_3660,4,3,0,1,123,0.790082783665263
user_517,content_1957,6,2,2,2,69,0.7153746778211427
user_402,content_2441,5,2,0,1,111,0.6388802422438661
user_932,content_4048,7,1,2,1,242,0.7689037184692438
user_444,content_90,9,1,1,0,36,0.5272822853322018
user_276,content_1920,9,0,1,2,121,0.9599103389684398
user_295,content_219,6,4,0,1,15,0.5204416298439849
user_84,content_2897,1,4,0,2,33,0.09335571618263638
user_499,content_3990,1,4,2,0,91,0.05920790714996216
user_821,content_559,2,1,0,2,13,0.2908163806806908
user_983,content_2859,9,0,0,0,8,0.28506619171805425
user_54,content_2172,9,3,0,1,232,0.6020971197092269
user_850,content_2764,3,3,0,1,290,0.053864064670656187
user_233,content_2568,6,2,0,1,171,0.5332421780473305
user_932,content_3109,4,2,0,2,231,0.48311589228213725
user_779,content_3262,9,0,0,0,226,0.35062785333457924
user_357,content_4376,9,4,0,2,132,0.7014158110991255
user_45,content_2302,4,3,2,0,184,0.9408609591808729
user_749,content_4362,6,1,0,0,119,0.6754743094168094
user_318,content_2644,2,2,1,2,11,0.6177767175573687
user_320,content_482,9,0,1,2,144,0.23119814923805404
user_936,content_1856,5,1,0,2,186,0.6979859530034174
user_308,content_3546,5,1,1,0,25,0.28318630783868726
user_909,content_4235,7,0,0,0,212,0.2803489350448446
user_982,content_3293,5,1,0,0,268,0.820441514864333
user_644,content_3715,1,3,2,0,132,0.8069146029875447
user_308,content_293,6,1,1,0,237,0.890020061204688
user_998,content_4923,6,3,2,2,77,0.44683470420054106
user_849,content_3020,7,3,1,1,171,0.17633489403189184
user_501,content_1978,4,0,1,0,105,0.541589478782342
user_697,content_1269,9,2,0,0,257,0.2721175020513722
user_830,content_4191,8,4,2,1,26,0.12221993425781763
user_404,content_4870,2,3,2,1,147,0.03030233714559294
user_427,content_2449,3,2,2,2,188,0.18229639464854552
user_239,content_4012,8,0,2,2,235,0.8265651498043044
user_950,content_1629,6,1,0,0,50,0.7609482292077657
user_364,content_4370,8,3,0,0,213,0.9909487753201467
user_750,content_2917,8,4,0,0,37,0.8942488236821209
user_609,content_2902,5,3,1,1,174,0.9886864898800439
user_552,content_4273,5,3,1,2,225,0.5220499398154186
user_784,content_4640,8,2,0,2,203,0.48849595043868044
user_64,content_3085,5,2,2,1,130,0.9178230167273487
user_979,content_1174,2,4,2,0,272,0.7603218978709949
user_786,content_3175,9,1,2,1,254,0.7318255607335566
user_124,content_4925,3,2,0,0,299,0.6361165620046031
user_903,content_622,1,2,1,0,125,0.6412689365555444
user_679,content_664,7,3,0,2,251,0.17217294279078044
user_676,content_4812,2,2,0,2,139,0.2327550557382303
user_773,content_3675,3,1,2,2,250,0.4321515311724915
user_631,content_4061,1,1,1,0,246,0.05435712581962959
user_149,content_680,8,1,0,2,47,0.2569604890313222
user_339,content_4114,1,0,0,0,210,0.5570347722911577
user_661,content_1620,3,3,1,0,94,0.9532509023230725
user_859,content_688,1,3,0,1,85,0.11649518987851981
user_856,content_3830,3,4,1,1,99,0.07659199153479623
user_20,content_2601,2,1,2,0,293,0.19494991508321713
user_78,content_839,4,0,2,2,26,0.9265704085549715
user_222,content_1901,5,1,0,2,275,0.2559959492639534
user_870,content_4877,3,2,1,1,219,0.4239484212358402
user_953,content_811,2,2,2,1,190,0.5718977757967576
user_537,content_3716,3,2,0,1,107,0.05504446624588699
user_938,content_6,3,3,1,2,12,0.6461896496735857
user_192,content_2029,6,2,2,0,216,0.910862237524661
user_170,content_637,4,3,1,2,296,0.8248254858348532
user_391,content_1687,2,3,1,0,125,0.23948491775708058
user_660,content_1590,6,4,1,2,156,0.9031667733612039
user_406,content_4618,2,1,1,2,109,0.8337694997428948
user_422,content_4271,3,4,1,1,241,0.5226256856141794
user_475,content_1239,1,4,2,1,159,0.04398678473465645
user_583,content_775,9,4,0,2,246,0.29163715442745275
user_705,content_1653,3,1,0,0,235,0.20385597315578774
user_939,content_4001,3,1,2,1,197,0.8952238301365816
user_952,content_2204,3,2,0,2,196,0.32257056385902394
user_929,content_4421,4,0,0,2,37,0.8035072819400862
user_313,content_4156,4,2,0,0,293,0.32539967965546013
user_179,content_15,1,1,1,2,61,0.26293697742002675
user_55,content_4077,2,0,0,2,186,0.3924917178387508
user_282,content_1761,3,1,2,0,106,0.2660788120547465
user_579,content_803,2,2,2,2,69,0.5350001496475869
user_397,content_2391,7,2,2,0,245,0.33818319564849897
user_821,content_619,6,4,2,0,123,0.7661222113534872
user_114,content_4089,8,0,1,1,286,0.037829828777134256
user_47,content_2180,7,2,1,1,84,0.8652871946156129
user_658,content_3432,5,3,2,0,64,0.1037112694819603
user_919,content_1399,9,3,0,2,51,0.8231375081038008
user_489,content_4840,9,3,0,0,233,0.8975128174562228
user_209,content_327,1,2,0,0,213,0.1470155761484072
user_15,content_2611,5,1,2,1,279,0.34349361939587675
user_162,content_1264,4,3,0,0,123,0.9949809644315897
user_316,content_2516,6,4,2,1,69,0.8264813206601549
user_845,content_2990,5,2,0,1,87,0.9828838088741669
user_73,content_2290,9,2,2,1,122,0.6753936745878542
user_701,content_3443,5,2,0,1,256,0.2643377045988269
user_306,content_2384,4,1,2,2,34,0.5709176405802473
user_471,content_3905,6,3,0,1,197,0.1161822821369013
user_122,content_199,8,4,2,2,284,0.4291637419211176
user_381,content_3215,9,0,1,2,84,0.8197099946405526
user_105,content_1357,4,0,1,0,222,0.6607901202615013
user_305,content_4670,7,1,1,1,123,0.08339023061622697
user_821,content_2106,7,1,0,1,147,0.20907298628114357
user_643,content_4751,8,2,1,2,116,0.9809240760995923
user_891,content_3312,6,2,2,2,75,0.756303279392922
user_850,content_3822,2,2,0,1,238,0.37341083613495896
user_163,content_4774,1,1,1,0,223,0.03817415205780006
user_841,content_2983,3,1,1,0,47,0.6713494832182701
user_600,content_4316,9,1,1,0,258,0.9008381434284692
user_710,content_584,7,0,2,0,153,0.13688138841222763
user_898,content_455,8,4,0,0,257,0.8267876807931628
